Category: All categories

Week,Kayaking: (United Kingdom)
2021-04-11,28
2021-04-18,29
2021-04-25,37
2021-05-02,30
2021-05-09,34
2021-05-16,32
2021-05-23,39
2021-05-30,82
2021-06-06,68
2021-06-13,65
2021-06-20,60
2021-06-27,60
2021-07-04,59
2021-07-11,79
2021-07-18,100
2021-07-25,81
2021-08-01,76
2021-08-08,68
2021-08-15,67
2021-08-22,66
2021-08-29,49
2021-09-05,42
2021-09-12,35
2021-09-19,28
2021-09-26,22
2021-10-03,20
2021-10-10,17
2021-10-17,20
2021-10-24,17
2021-10-31,11
2021-11-07,12
2021-11-14,14
2021-11-21,11
2021-11-28,11
2021-12-05,12
2021-12-12,11
2021-12-19,9
2021-12-26,13
2022-01-02,14
2022-01-09,14
2022-01-16,17
2022-01-23,18
2022-01-30,18
2022-02-06,17
2022-02-13,14
2022-02-20,15
2022-02-27,14
2022-03-06,21
2022-03-13,20
2022-03-20,25
2022-03-27,19
2022-04-03,0
