Category: All categories

Week,kitesurfing: (United Kingdom)
2021-04-11,41
2021-04-18,48
2021-04-25,49
2021-05-02,49
2021-05-09,51
2021-05-16,60
2021-05-23,56
2021-05-30,89
2021-06-06,56
2021-06-13,59
2021-06-20,45
2021-06-27,61
2021-07-04,60
2021-07-11,51
2021-07-18,77
2021-07-25,79
2021-08-01,100
2021-08-08,86
2021-08-15,74
2021-08-22,55
2021-08-29,67
2021-09-05,81
2021-09-12,58
2021-09-19,46
2021-09-26,34
2021-10-03,55
2021-10-10,58
2021-10-17,48
2021-10-24,52
2021-10-31,53
2021-11-07,48
2021-11-14,27
2021-11-21,46
2021-11-28,24
2021-12-05,51
2021-12-12,48
2021-12-19,47
2021-12-26,63
2022-01-02,54
2022-01-09,38
2022-01-16,38
2022-01-23,45
2022-01-30,55
2022-02-06,53
2022-02-13,42
2022-02-20,40
2022-02-27,22
2022-03-06,34
2022-03-13,48
2022-03-20,48
2022-03-27,52
2022-04-03,36
