Category: All categories

Week,paddlesports: (United Kingdom)
2021-04-04,67
2021-04-11,52
2021-04-18,0
2021-04-25,17
2021-05-02,33
2021-05-09,17
2021-05-16,0
2021-05-23,35
2021-05-30,37
2021-06-06,52
2021-06-13,34
2021-06-20,35
2021-06-27,0
2021-07-04,17
2021-07-11,18
2021-07-18,56
2021-07-25,53
2021-08-01,0
2021-08-08,18
2021-08-15,70
2021-08-22,100
2021-08-29,19
2021-09-05,19
2021-09-12,37
2021-09-19,18
2021-09-26,18
2021-10-03,55
2021-10-10,0
2021-10-17,18
2021-10-24,0
2021-10-31,0
2021-11-07,74
2021-11-14,18
2021-11-21,18
2021-11-28,18
2021-12-05,0
2021-12-12,19
2021-12-19,22
2021-12-26,40
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,38
2022-01-30,19
2022-02-06,20
2022-02-13,19
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,20
2022-03-20,20
2022-03-27,44
