Category: All categories

Week,paddleboarding: (United Kingdom)
2021-04-11,17
2021-04-18,18
2021-04-25,24
2021-05-02,19
2021-05-09,20
2021-05-16,14
2021-05-23,17
2021-05-30,64
2021-06-06,48
2021-06-13,50
2021-06-20,41
2021-06-27,47
2021-07-04,41
2021-07-11,67
2021-07-18,100
2021-07-25,62
2021-08-01,63
2021-08-08,59
2021-08-15,53
2021-08-22,58
2021-08-29,49
2021-09-05,39
2021-09-12,31
2021-09-19,31
2021-09-26,12
2021-10-03,11
2021-10-10,14
2021-10-17,9
2021-10-24,9
2021-10-31,36
2021-11-07,10
2021-11-14,9
2021-11-21,5
2021-11-28,4
2021-12-05,3
2021-12-12,6
2021-12-19,6
2021-12-26,7
2022-01-02,7
2022-01-09,8
2022-01-16,8
2022-01-23,14
2022-01-30,10
2022-02-06,4
2022-02-13,8
2022-02-20,5
2022-02-27,5
2022-03-06,11
2022-03-13,8
2022-03-20,23
2022-03-27,13
2022-04-03,0
