Category: All categories

Week,rowing: (United Kingdom)
2021-04-11,29
2021-04-18,24
2021-04-25,24
2021-05-02,25
2021-05-09,22
2021-05-16,26
2021-05-23,24
2021-05-30,28
2021-06-06,30
2021-06-13,26
2021-06-20,25
2021-06-27,26
2021-07-04,25
2021-07-11,27
2021-07-18,50
2021-07-25,100
2021-08-01,40
2021-08-08,34
2021-08-15,26
2021-08-22,25
2021-08-29,26
2021-09-05,22
2021-09-12,24
2021-09-19,23
2021-09-26,24
2021-10-03,22
2021-10-10,21
2021-10-17,24
2021-10-24,20
2021-10-31,23
2021-11-07,26
2021-11-14,23
2021-11-21,22
2021-11-28,24
2021-12-05,20
2021-12-12,18
2021-12-19,15
2021-12-26,23
2022-01-02,27
2022-01-09,24
2022-01-16,25
2022-01-23,25
2022-01-30,27
2022-02-06,22
2022-02-13,20
2022-02-20,23
2022-02-27,42
2022-03-06,24
2022-03-13,21
2022-03-20,21
2022-03-27,21
2022-04-03,71
