Category: All categories

Week,sailing: (United Kingdom)
2021-04-11,40
2021-04-18,40
2021-04-25,41
2021-05-02,45
2021-05-09,47
2021-05-16,43
2021-05-23,45
2021-05-30,54
2021-06-06,54
2021-06-13,49
2021-06-20,50
2021-06-27,46
2021-07-04,51
2021-07-11,54
2021-07-18,58
2021-07-25,89
2021-08-01,100
2021-08-08,60
2021-08-15,53
2021-08-22,57
2021-08-29,50
2021-09-05,53
2021-09-12,43
2021-09-19,42
2021-09-26,39
2021-10-03,37
2021-10-10,34
2021-10-17,36
2021-10-24,36
2021-10-31,32
2021-11-07,31
2021-11-14,29
2021-11-21,32
2021-11-28,33
2021-12-05,31
2021-12-12,29
2021-12-19,26
2021-12-26,32
2022-01-02,35
2022-01-09,34
2022-01-16,31
2022-01-23,33
2022-01-30,32
2022-02-06,35
2022-02-13,37
2022-02-20,35
2022-02-27,29
2022-03-06,34
2022-03-13,40
2022-03-20,38
2022-03-27,39
2022-04-03,52
