Category: All categories

Week,surfing: (United Kingdom)
2021-04-11,19
2021-04-18,22
2021-04-25,23
2021-05-02,25
2021-05-09,23
2021-05-16,27
2021-05-23,27
2021-05-30,34
2021-06-06,35
2021-06-13,31
2021-06-20,34
2021-06-27,33
2021-07-04,32
2021-07-11,42
2021-07-18,57
2021-07-25,100
2021-08-01,55
2021-08-08,50
2021-08-15,45
2021-08-22,39
2021-08-29,32
2021-09-05,25
2021-09-12,26
2021-09-19,26
2021-09-26,24
2021-10-03,24
2021-10-10,25
2021-10-17,24
2021-10-24,23
2021-10-31,19
2021-11-07,22
2021-11-14,17
2021-11-21,21
2021-11-28,18
2021-12-05,18
2021-12-12,17
2021-12-19,20
2021-12-26,25
2022-01-02,24
2022-01-09,22
2022-01-16,22
2022-01-23,22
2022-01-30,22
2022-02-06,19
2022-02-13,19
2022-02-20,20
2022-02-27,18
2022-03-06,19
2022-03-13,22
2022-03-20,26
2022-03-27,22
2022-04-03,21
