Category: All categories

Week,Swimming: (United Kingdom)
2021-04-11,46
2021-04-18,44
2021-04-25,42
2021-05-02,46
2021-05-09,42
2021-05-16,45
2021-05-23,47
2021-05-30,69
2021-06-06,58
2021-06-13,54
2021-06-20,43
2021-06-27,44
2021-07-04,44
2021-07-11,58
2021-07-18,100
2021-07-25,86
2021-08-01,71
2021-08-08,60
2021-08-15,53
2021-08-22,54
2021-08-29,48
2021-09-05,51
2021-09-12,42
2021-09-19,39
2021-09-26,36
2021-10-03,33
2021-10-10,34
2021-10-17,32
2021-10-24,34
2021-10-31,24
2021-11-07,26
2021-11-14,24
2021-11-21,20
2021-11-28,18
2021-12-05,18
2021-12-12,17
2021-12-19,15
2021-12-26,25
2022-01-02,37
2022-01-09,39
2022-01-16,38
2022-01-23,37
2022-01-30,38
2022-02-06,40
2022-02-13,42
2022-02-20,44
2022-02-27,36
2022-03-06,37
2022-03-13,37
2022-03-20,36
2022-03-27,33
2022-04-03,44
