Category: All categories

Week,windsurfing: (United Kingdom)
2021-04-11,18
2021-04-18,20
2021-04-25,18
2021-05-02,23
2021-05-09,21
2021-05-16,22
2021-05-23,24
2021-05-30,35
2021-06-06,26
2021-06-13,28
2021-06-20,37
2021-06-27,26
2021-07-04,33
2021-07-11,32
2021-07-18,37
2021-07-25,100
2021-08-01,62
2021-08-08,50
2021-08-15,33
2021-08-22,34
2021-08-29,25
2021-09-05,24
2021-09-12,23
2021-09-19,23
2021-09-26,24
2021-10-03,15
2021-10-10,13
2021-10-17,23
2021-10-24,28
2021-10-31,16
2021-11-07,21
2021-11-14,16
2021-11-21,19
2021-11-28,14
2021-12-05,11
2021-12-12,15
2021-12-19,13
2021-12-26,19
2022-01-02,24
2022-01-09,14
2022-01-16,15
2022-01-23,19
2022-01-30,25
2022-02-06,18
2022-02-13,21
2022-02-20,16
2022-02-27,14
2022-03-06,23
2022-03-13,15
2022-03-20,17
2022-03-27,17
2022-04-03,21
